Filename,Title,Authors,Year,Summary
nihms_5007.pdf,Intensive Intervention for Students with Mathematics Disabilities: Seven Principles of Effective Practice,Lynn S. Fuchs; Douglas Fuchs; Sarah R. Powell; Pamela M. Seethaler; Paul T. Cirino; Jack M. Fletcher,2008,"The article focuses on intervention for third-grade students with serious mathematics deficits. It provides background on two key aspects of mathematical cognition - number combinations and story problems - that present major challenges for students in the primary grades. The article then describes seven principles of effective intervention for students with mathematics disabilities, using validated interventions as examples."
orosco_2011.pdf,The Effects of Dynamic Strategic Math on English Language Learners' Word Problem Solving,Michael J. Orosco; H. Lee Swanson; Rollanda O'Connor; Cathy Lussier,2011,This study assessed the effectiveness of a math comprehension strategy called Dynamic Strategic Math (DSM) on word problem solving for Latino English language learners (ELLs). The DSM strategy provides performance-contingent feedback based on the student's reading and language comprehension level. The results suggest the intervention facilitated math problem-solving performance for the ELL participants.
PMC_1139.pdf,How bipedalism shapes humans' actions with hand tools,Dorothy M. Fragaszy; Damian G. Kelty-Stephen; Madhur Mangalam,2024,"This article explores the relationship between human bipedalism and the use of hand tools, a form of embodied cognition. It discusses how posture and body dynamics shape the perception of affordances and the dexterous use of objects. The authors use the metaphor of cascades to capture the dynamic, nonlinear transformations in morphology and behavior associated with posture and tool use across evolutionary and developmental timescales. The article also highlights the potential of multifractal cascade analysis to reveal the nonlinear, cross-scale interactions across the entire body that support the perception of affordances for actions with tools."
PMC_1146.pdf,"Brains in sync, friends in empathy: interbrain neural mechanisms underlying the impact of interpersonal closeness on mutual empathy",Chennan Lin; Xinxin Lin; Weicheng Lian; Wenting Zhang; Weiwei Peng,2024,"This research explores the neural mechanisms underlying the impact of interpersonal closeness on mutual empathy. The study found that dyads of friends exhibited greater affect sharing than strangers when witnessing their partners being accepted or rejected, as evidenced by more pronounced event-related potential similarity and increased interbrain neural synchronization of brain alpha-oscillation between the empathizer's left prefrontal cortex and the target's left temporoparietal junction. These findings highlight the sensitivity of empathy to interpersonal closeness, linking it to sustained attention, detailed evaluation in social scenarios, and functional communication between brain regions for mentalizing and emotional regulation."
PMC_1156.pdf,Cortical Surface Area Profile Mediates Effects of Childhood Disadvantage on Later-Life General Cognitive Ability,Rongxiang Tang; Jeremy A. Elman; Chandra A. Reynolds; Olivia K. Puckett; Matthew S. Panizzon; Michael J. Lyons; Donald J Hagler Jr; Christine Fennema-Notestine; Lisa T. Eyler; Stephen M. Dorros; Anders M. Dale; William S. Kremen; Carol E. Franz,2024,"The study examined whether the cortical surface area (SA) profile, which reflects the spatial patterning of SA across the cortex, mediates the effects of childhood disadvantage on later-life general cognitive ability (GCA) in a sample of older adults. The results showed that around 1.31% of the effects of childhood disadvantage on later-life GCA were mediated by cortical SA profile, suggesting that childhood disadvantage may contribute to later-life GCA differences partly by influencing the spatial patterning of cortical SA in a way that deviates from the normative cortical organizational principle."
PMC_1223.pdf,The Role of Executive Function in the Co-occurrence of ADHD and Developmental Dyscalculia in Chinese Children,Jing Zhang; Min Dong; Lu Liu; Sunwei Qiu; Meirong Pan; Xinlin Zhou; Qiujin Qian,2025,"This study aimed to elucidate the characteristics of executive function deficits in children with Attention-deficit/hyperactivity disorder (ADHD) comorbid with developmental dyscalculia (ADHD+DD). The results showed that both ADHD groups had more severe executive function impairment than the control group, and the ADHD+DD group performed worse in performance-based executive functions but similar in scale-based executive functions compared to the ADHD-DD group. Verbal working memory, processing speed, and working memory factors were identified as potential shared risk factors for ADHD and arithmetic ability, while cognitive flexibility and inhibition were found to have specific contributions to arithmetic ability. Processing speed and inhibition were also potential etiological elements for distinguishing ADHD-DD and ADHD+DD."
PMC_1224.pdf,Assessment of Knowledge of Learning Disabilities and Workshop for Palestinian Primary School Teachers: A Single-Center Study,Dr Nizar Marzouqa; Mr George Ibrahim; Ms Nora Marzouqa; Ms Alessia Grazia Morea,2025,"The study aimed to assess primary school teachers' knowledge of learning disabilities and design interactive lectures targeting revealed gaps. A survey was conducted, and a four-session workshop was held to provide knowledge and interactive activities on normal child development, learning disability types, specific learning disorders, developmental disorders, and multidisciplinary management. The results showed that teachers had an average overall score of 55% on the pre-assessment, with the highest section mean being developmental disorders. The feedback from the workshop was positive, with teachers reporting more confidence and enthusiasm to interact with students with learning and developmental disabilities."
PMC_1224_2.pdf,Experiences of medical students and doctors with dyslexia: A systematic review,Suhail Amin Tarafdar; Noha Seoudi; Ruoyin Luo; Kalman Winston,2025,"This systematic review explores the experiences of, and identifies strategies for, medical students and postgraduate doctors with dyslexia. The review found largely negative experiences, such as stigma, and that dyslexia can impact assessment performance, though reasonable adjustments are effective. Strategies to reduce difficulties include peer support, organizational inclusivity, and interactive educational methodologies. Dyslexia also impacts the career trajectory of doctors. The review recommends training programs promote an inclusive environment and provide reasonable adjustments, with flexible strategies according to individual needs."
PMC_1226.pdf,Developing an explainable machine learning and fog computing-based visual rating scale for the prediction of dementia progression,Zainab H. Ali; Esraa Hassan; Shimaa Elgamal; Nora El-Rashidy,2025,"This study introduces an innovative and reliable context-aware health monitoring system based on fog computing to measure mental impairment in the elderly population. The framework provides screening tests utilizing MMSE and MoCA to achieve accurate and real-time monitoring of cognitive function, allowing for early detection and treatment of mental disorders. The proposed machine learning model, using an ensemble AdaBoost approach, achieves high accuracy in predicting dementia progression compared to traditional MMSE and MoCA scores."
PMC_1227.pdf,Effects of digital interventions on neuroplasticity and brain function of individuals with developmental disabilities: A systematic review,Hyunyoung Lee; Yoomi Shin; Hayoung Moon; Yuna Choi; Anna Lee,2025,"This review examines the effects of digital interventions on neuroplasticity and neural functions of individuals with developmental disabilities. The results demonstrate that digital interventions using cognitive training, neuromodulation, and social cognitive training can enhance neural functions and neuroplasticity in this population. Further studies with diverse methodologies and a broader spectrum of developmental disabilities are needed to fully understand the potential of digital interventions in addressing neurodevelopmental challenges."
PMC_1227_2.pdf,Diversity in Education Study (DivES): Investigating a neurodiversity module in higher education,Amy J. Schwichtenberg; Katherine Mirah; Amy Janis; Moon West; Annabelle L. Atkin,2025,"This study explored the impact of a neurodiversity-focused module within a college classroom. The module was taught in an undergraduate course on diversity, and pre- and post-surveys were used to evaluate its impact on student understanding of neurodiversity, self-endorsements of a neurodivergent identity, and critical consciousness of ableism. The results showed that the module increased neurodiversity awareness and self-endorsements, but did not positively shift critical consciousness of ableism scores."
PMC_1227_3.pdf,Object but no room tilt illusion due to apperceptive visual agnosia in a right parieto-occipital lesion disconnecting visual–spatial integration,Philipp J. Koch; Tabea Kürten; Anja Fellbrick; Andreas Sprenger; Christoph Helmchen,2025,"The research article describes a case study of a patient with severe apperceptive visual agnosia and object tilt illusions, caused by a right-sided posterior reversible encephalopathy syndrome (PRES) affecting the primary and secondary visual cortex as well as the dorsal part of the superior parietal lobe, while sparing the multisensory vestibular brain areas. The patient experienced distortion of visual objects and 180° tilts of objects, but without room tilt illusion, suggesting a disconnection of visual-spatial integration."
PMC_1230.pdf,"Natural Products for Drug Discovery in Cognitive Disabilities: Bibliometric Hotspots, Research Trends, Conceptual Framework, and Future Directions",Mohammed Albratty; Maryam Halawi; Ali Mufraih Albarrati,2025,"This study provides a bibliometric overview of the therapeutic potential of natural products in cognitive disabilities, highlighting growth patterns, themes, and future directions. It examines research focus, geographic trends, and collaboration, with Alzheimer's disease dominating the field alongside topics such as oxidative stress, neuroprotection, and molecular docking. Emerging trends include ferroptosis, UPLC-Q-TOF-MS, and network pharmacology, which have marked advancements in therapeutic and computational approaches."
PMC_1230_2.pdf,High-field fMRI at 7 Tesla reveals topographic responses tuned to number in the developing human brain,Ga-Ram Jeong; Joram Soch; Robert Trampel; Andreas Nieder; Michael A. Skeide,2025,"This study used high-field fMRI at 7 Tesla to investigate how the developing human brain represents numerosity. The researchers found that children aged 11-12 years already exhibit logarithmic Gaussian tuning and topographically organized responses to adjacent numerosities, similar to what has been observed in adults. Remarkably, the tuning models explained comparable amounts of variance in children and adults, indicating that the precision of number representation is already quite advanced in the developing brain."
PMC_1231.pdf,Tourette Syndrome: A Catalyst for Operationalizing Neurodiversity,Abraham Graber; Matthew Rizzo,2024,"This article introduces the neurodiversity paradigm, which considers some neurological conditions as diversity rather than simply disease. It discusses the implications of this paradigm for research and practice, including potential challenges from the anti-therapy sentiment within the Tourette syndrome community. The article aims to demonstrate that the neurodiversity paradigm is empirically tractable and chart a course for constructive and scientific investigation of its central claims in relation to neurology."
PMC_1231_2.pdf,Assessment of microstructural abnormalities in gray and white matter of minimal hepatic encephalopathy patients using diffusion kurtosis imaging and their associations with neurocognitive dysfunction,Qing Sun; Wenliang Fan; Yuan Liu; Zhifeng Kou; Ping Han,2025,"This study used diffusion kurtosis imaging (DKI) to assess microstructural abnormalities in both gray matter and white matter of patients with minimal hepatic encephalopathy (MHE). The results showed that MHE patients had decreased fractional anisotropy in the temporal part of the left superior longitudinal fasciculus and decreased kurtosis fractional anisotropy in the left corticospinal tract and anterior thalamic radiation, which correlated with worse neurocognitive test scores. MHE patients also exhibited increased volume of the thalamus. These findings suggest that disruption of microstructural integrity may underlie the pathophysiological underpinnings of neurocognitive dysfunction in MHE."
PMC_1231_3.pdf,Academic self-concept and reading comprehension among students with learning disabilities: Serial mediating effect of reading anxiety and reading motivation,Halime Miray Sümer Dodur; Mustafa Ceylan,2025,"This study investigates the relationship between academic self-concept and reading comprehension among middle school students with learning disabilities, focusing on the serial mediating roles of reading anxiety and reading motivation. The findings highlight the importance of addressing both reading anxiety and motivation to improve reading comprehension in students with learning disabilities. Enhancing academic self-concept and reducing reading anxiety can significantly boost reading motivation and comprehension skills."
PMC_1232.pdf,Individual Differences in Statistical Learning and Semantic Adaptation: An N400 Study,Márton Munding; Bálint Forgács; Krisztina Sára Lukics; Ágnes Lukács,2025,"This study examined the relationship between individual differences in statistical learning (SL) abilities and the N400 event-related potential, which is associated with semantic processing during language comprehension. The results showed that better online SL performance was associated with larger N400 amplitudes across different levels of cloze probability. Working memory also interacted with SL in modulating N400 amplitude. These findings suggest that individual differences in SL abilities contribute to variability in the N400 response, supporting the view that semantic operations reflected by the N400 may involve statistical learning processes."
PMC_1233.pdf,Challenges in disability certification in psychiatry in India,Apoorva K. Bachhav; Harshit B. Sharma; Kartik M. Singhai,2025,"This viewpoint draws attention to the disparities that exist between the Rights of Persons with Disabilities Act, 2016 and the facilities that are available to specialists on the digital platform of certification for mental illnesses to address the severity of the impairment. It also recognizes that the lack of clear rules makes it difficult to reevaluate both single and multiple disabilities. The process of disability certification is further complicated by other factors, including inadequate training of medical professionals and clerical staff, server associated delays as well as the lack of uniformity of standard operating procedures among disability centers across the country."
PMC_1233_2.pdf,Exome analysis links kidney malformations to developmental disorders and reveals causal genes,Hila Milo Rasouly; Ali G. Gharavi,2025,"This study examines rare coding variants in CAKUT (congenital anomalies of the kidney and urinary tract) patients and controls, identifying diagnostic and candidate diagnostic variants in 14.1% of cases. The results suggest shared genetic mechanisms between CAKUT and other developmental disorders, with 18% of CAKUT patients having neurodevelopmental or cardiac phenotypes. The study identifies 40 candidate CAKUT genes, confirming ARID3A and NR6A1 as causal."
PMC_1233_3.pdf,"Specificity, Co-Occurrence, and Growth: Math and Reading Skill Development in Children With Learning Disabilities",Katherine Helene Connors; Emily L. Guertin; Melissa Nichol; Joan M. Bosson-Heenan; Jeffrey R. Gruen; Jan C. Frijters,2024,"The study analyzes longitudinal patterns of growth, co-occurrence, and specificity in the math and reading skills of children with and without learning disabilities. The findings reveal that math and reading trajectories of children with learning disabilities parallel those of children without disabilities, with skill growth slowing over time. The impairment levels and growth trajectories of children with co-occurring disabilities match the within-domain patterns of children with isolated disabilities, supporting an additive model of co-occurrence. Math disability is domain-specific and becomes more pronounced over time, while reading disability impacts both domains early and maintains curriculum-contingent math deficits."
PMC_1233_4.pdf,The interaction effect of pedagogical agent and emotional feedback on effective learning: a 2 × 2 factorial experiment in online formative assessment,Xiaoqin Tang; Li Jiang; Guoli Liu; Hongxia Li,2025,"This study conducted a 2 × 2 experimental study using an online learning system to explore the effects of pedagogical agents and emotional feedback on learning performance during formative assessments. The results showed that pedagogical agents had a slightly negative influence on transfer scores, while emotional feedback significantly boosted engagement. When both were combined, learners exhibited the highest motivation, although this did not significantly enhance emotional perception or performance and slightly reduced transfer scores. The use of these tools also shortened learning duration."
PMC_1234.pdf,Leveraging and Harnessing Generative Artificial Intelligence to Mitigate the Burden of Neurodevelopmental Disorders (NDDs) in Children,Obinna Ositadimma Oleribe,2025,"The article explores the potential of Generative Artificial Intelligence (GenAI) in transforming the management of Neurodevelopmental Disorders (NDDs) in children. It discusses how GenAI can enhance screening, diagnosis, personalized treatment, research, and caregiver support for NDDs, which have a significant global impact on child health and development. The article calls for policy initiatives to integrate GenAI into NDD management systems to address the persistent challenges in early identification, accurate diagnosis, and effective treatment of these disorders."
PMC_1235.pdf,Distinct neural representational changes following cross-format number tutoring in children with mathematical difficulties,Yunji Park; Yuan Zhang; Flora Schwartz; Teresa Iuculano; Hyesang Chang; Vinod Menon,2025,"This study evaluated a 4-week personalized cross-format number (CFN) tutoring program designed to strengthen the symbolic-nonsymbolic mappings in children with mathematical difficulties (MD) aged 7-10 years. The CFN tutoring was associated with significant improvements in numerical and arithmetic fluency. Neural representational similarity (NRS) analysis revealed that deficient cross-format NRS in children with MD was normalized following tutoring, aligning with pre-tutoring levels of typically-developing (TD) peers. This normalization was most pronounced in parietal and parahippocampal regions known to support quantity and spatial representation. The study suggests that developmentally tailored interventions can support children with MD through targeted, evidence-based strategies."
PMC_1235_2.pdf,Summary Graphs Covary with Reading and Language Comprehension in School-age Children in the Spanish Language,Anabel Fernández-Blanco; Nancy Estévez-Pérez; Klency González Hernández,2024,"The study aimed to determine if there is an association between the topological properties of text summaries (represented as graphs) and traditional measures of reading and language comprehension in Cuban school-age children. Two correlational studies found that the density of the text summary graphs was significantly associated with reading comprehension in fifth graders and language comprehension in sixth graders, after controlling for other cognitive factors. The results suggest that graph theory analysis of text summaries could be a useful tool for assessing and characterizing reading and language comprehension."
PMC_1236.pdf,A Dotted Triangle or Dots of Three: The Role of Representational Content on Working Memory Capacity in Early Childhood,Tongyan Ren; Xuechen Ding; Chen Cheng,2025,Children's working memory (WM) performance varies depending on the type of representational content (conceptual vs. perceptual). Encoding the same stimuli from different representational domains imposes varying memory loads in preschool-aged children. Developmental trends in WM for different types of content emerge between ages three and five. Findings provide insights for designing assessments tailored to young children's developmental and representational capacities.
PMC_1236_2.pdf,Research on mathematics anxiety in primary school: bibliometric analysis and evaluation of trends,Hilal Uğraş,2025,"This study aims to explore trends and key themes in research on mathematics anxiety in primary school students over a 45-year period. The findings indicate that research on mathematics anxiety in primary school has gained substantial attention in recent years, with an interdisciplinary nature involving both psychological and educational research. The results suggest a growing scholarly focus on the effects of mathematics anxiety, including how cognitive, emotional, and social factors contribute to its development and management. These findings underscore the need for continued integrated research in addressing mathematics anxiety at early educational stages."
PMC_1237.pdf,Epidemiological Investigation on the Clinical Status of the Developmental Dyslexia and ADHD Comorbidity among School-Age Children in Pakistan,Shujjah Haider; Tanmoy Mondal; Christopher A. Loffredo; Brent Korba; Irum Nawaz; Maleeha Azam; Tapas Sur; Somiranjan Ghosh,2025,"This study aimed to identify and confirm ADHD and developmental dyslexia among a sample of Pakistani school children, and explore the associations between these conditions and various risk factors. The researchers conducted a case-control study with 1,260 children aged 5-19 years, identifying 288 children with ADHD or dyslexia. Their findings revealed a significant gender difference in the cases, as well as differences in Vitamin D3 levels compared to the control group. The study suggests that other factors may influence the development of these neurodevelopmental disorders in the studied population."
PMC_1237_2.pdf,A Sunny Disposition and a Big Heart: Thematic Analysis of Parent-Reported Socio-Emotional Strengths in Dyslexia,Belinda Y. Zhang; Gabriela V. Gocheva; Ana Tyler; Amie Wallman-Jones; Marni Shabash; Jiwoo Han; Christa Watson-Pereira; Zachary A. Miller; Maria Luisa Gorno-Tempini; Virginia E. Sturm; Eleanor R. Palser,2025,"This study used a thematic analysis approach to identify five key socio-emotional strengths in children with dyslexia, as reported by their parents: social skills, positivity, reliability, determination, and creativity. The findings suggest that dyslexia may be associated with previously overlooked strengths that could be leveraged in remediation efforts to improve outcomes, reduce stigma, and foster resilience and self-esteem."
PMC_1238.pdf,The Effectiveness of Artificial Intelligence-Based Interventions for Students with Learning Disabilities: A Systematic Review,Andrea Paglialunga; Sergio Melogno,2025,"This systematic review aims to assess the efficacy of AI-based educational interventions for students with learning disabilities, with a focus on the methodological quality and risk of bias. The review found 11 studies representing 10 independent experiments with 3033 participants. The most studied disabilities were dyslexia and other specific learning disorders. Personalized/adaptive learning systems and game-based learning were the most common AI interventions. All 11 studies reported positive outcomes, but the risk of bias assessment revealed significant methodological limitations, with no studies rated as having a low risk of bias."
PMC_1238_2.pdf,Sex Differences in Stroke Risk Factors and Mechanisms in a Multi-Ethnic Asian Population,Narayanaswamy Venketasubramanian,2025,"This study investigated sex differences in stroke risk factors and mechanisms in a multi-ethnic Asian population. It found that compared to males, female stroke patients were older, had more diabetes mellitus, but less smoking, prior cerebrovascular events, and hemorrhagic stroke. However, there were no differences in ischemic stroke mechanisms or syndromes. The study also noted sex-ethnic differences, with more Chinese and fewer Indians among female stroke patients compared to males."
PMC_1239.pdf,Estimating a minimum clinically important difference for the Developmental Behaviour Checklist –parent report,Daniel L. Sutherland; Emma L. Taylor; Kylie M. Gray; Richard P. Hastings; Amanda Allard; Joanna Carr; Joanna Griffin; Nicola McMeekin; Elizabeth Randell; Daisy Russell; Bronwen Willoughby-Richards; Jeanne Wolstencroft; Paul A. Thompson,2025,"The study aimed to estimate a Minimum Clinically Important Difference (MCID) for the Developmental Behaviour Checklist, parent-report (DBC-P), which is a measure of behavioural and emotional problems in children and adolescents with intellectual disabilities. The researchers used distribution-based estimates through meta-analysis of intervention evaluations and anchor-based estimates using case scenarios with parent carers and professionals. The findings provide context for interpreting DBC-P score changes in relation to outcomes from other interventions and stakeholder views."
PMC_1239_2.pdf,Hidden Rhythms of a Developing Brain: Multimetric rs-fMRI Insights Into Typical Youth Maturation,Merida Galilea Tapia-Medina; Raquel Cosío-Guirado; Maribel Peró-Cebollero; Cristina Cañete-Massé; Erwin Rogelio Villuendas-González; Joan Guàrdia-Olmos,2025,"This study used resting-state fMRI to examine age-related changes in multiple functional metrics (fALFF, ReHo, VMHC) in a large sample of neurotypical youth aged 6-20 years. The results revealed a general pattern of declining local and interhemispheric connectivity with increasing age, indicating increased functional integration and network specialization during typical brain development from late childhood through adolescence. The combined use of these complementary metrics provides a robust framework for characterizing typical brain maturation and serves as a valuable benchmark for identifying developmental deviations in clinical populations."
PMC_1240.pdf,"CAR-T cell therapy for glioblastoma: advances, challenges, and future directions",Wojciech Czyżewski; Klaudia Kus-Budzynska; Jan Sobstyl; Michał Sojka; Jakub Litak; Tomasz Szaliński; Mateusz P. Jeżewski; Michał Turek; Bipin Chaurasia; Tomasz Mandat; Kamil Torres; Grzegorz Staśkiewicz,2025,"This article examines the progress, effectiveness, and challenges of chimeric antigen receptor T (CAR-T) therapy for glioblastoma. It highlights the therapeutic potential of CAR-T cells, along with technological innovations aimed at enhancing their efficacy and safety. However, significant obstacles such as overcoming the blood-brain barrier and managing severe side effects remain."
PMC_1242.pdf,"Brain Tumors, AI and Psychiatry: Predicting Tumor-Associated Psychiatric Syndromes with Machine Learning and Biomarkers",Matei Șerban; Corneliu Toader; Răzvan-Adrian Covache-Busuioc,2025,"This research paper explores the complex relationship between brain tumors and associated psychiatric disturbances. It discusses how brain tumors can lead to neuropsychiatric symptoms through various mechanisms, including metabolic reprogramming, neuroimmune activation, neurotransmitter dysregulation, and disruption of neural circuits. The article highlights the importance of early detection and precise diagnosis of these tumor-associated psychiatric syndromes, and proposes novel approaches such as lesion-network mapping, exosomal biomarkers, and AI-based predictive modeling to improve diagnosis and treatment. The paper emphasizes the need for a new paradigm in understanding and managing these conditions, as they are integral to the biology of the tumor rather than just secondary effects."
PMC_1242_2.pdf,Novel Association of the Presenilin-1 (Leu282Arg) Mutation with Isolated Spastic Paraparesis: Case Presentation and Review of Current Evidence,"De la Sen-Domínguez, M.; Delgado-Alvarado, M.; Torres-Barquin, M.; Quirce, R.; Riancho, J.",2025,"This research article reports a case of a patient with a positive family history of early-onset Alzheimer's disease and cerebral amyloid angiopathy who presented with isolated spastic paraparesis. The authors reviewed previously published cases describing similar presentations related to Presenilin-1 mutations, highlighting the importance of considering these mutations in the differential diagnosis of patients presenting with spastic paraparesis, particularly in the presence of cognitive symptoms, cerebral amyloid angiopathy, or a family history of Alzheimer's disease."
PMC_1243.pdf,Visual enumeration remains challenging for multimodal generative AI,Alberto Testolin; Kuinan Hou; Marco Zorzi,2025,"This work proposes two benchmark tasks inspired by cognitive science to evaluate the visual enumeration capabilities of multimodal foundation models. The authors analyze popular visual question answering, image-to-text, and text-to-image AI systems and find that even the most advanced models cannot reliably name the number of objects in simple visual stimuli or generate images containing a target number of items, especially for numbers outside the subitizing range. The results demonstrate that developing an intuitive visual understanding of number remains challenging for AI models and that merely increasing model size might not be a viable strategy to promote the emergence of systematic counting skills."
PMC_1243_2.pdf,Functional specialization for language processing in inferior frontal regions during early childhood: evidence from functional near-infrared spectroscopy individual functional channels of interest approach,Haolun Luo; Tao Yu; Qun Li; Li Sheng,2025,"This study investigated the neural mechanisms underlying early language acquisition in toddlers using functional near-infrared spectroscopy. The results provide evidence for early neural specialization of language processing in the left inferior frontal gyrus, while revealing ongoing development in the right inferior frontal gyrus organization. The findings support models of early language-specific neural regions rather than gradual differentiation from domain-general mechanisms."
PMC_1243_3.pdf,Metabolic Factors Related to Interpersonal Dysfunction in Acromegaly: A Nationwide Cross-Sectional Study in China,Shashi Kiran Tagilapalli; Zongming Wang; Yuechu Lucinda Lu; Guofeng Zhang; Weijie Su; Zhentian Wu; Jiaming Wang; Qing Rao; Haijun Wang; Dongsheng He; Yonggao Mou; Shun Yao; Yanmei Tie; Wenli Chen,2025,"The study aimed to identify the clinical manifestations, metabolic factors, and comorbidities independently associated with interpersonal dysfunction in Chinese acromegaly patients. It found that physical disfigurement, palpitations, cardiac comorbidities, and elevated growth hormone levels were key predictors of high interpersonal dysfunction. The researchers suggest integrating psychosocial screening and referral to psychoneuroendocrine teams to mitigate social disability and improve quality of life in acromegaly patients."
